TIME(month),BHP(psi),Rate(Mscf/d)
1,2493.723389,8000
2,2485.113525,8000
3,2478.059082,8000
4,2472.61377,8000
5,2467.671875,8000
6,2463.276611,8000
7,2466.606445,6000
8,2465.492676,6000
9,2464.131104,6000
10,2462.639893,6000
11,2461.062988,6000
12,2459.522705,6000
13,2465.556885,4000
14,2466.45752,4000
15,2466.926758,4000
16,2466.980469,4000
17,2466.865967,4000
18,2466.572998,4000
19,2458.423584,6000
20,2455.358643,6000
21,2452.873047,6000
22,2450.662842,6000
23,2448.80127,6000
24,2447.0625,6000
25,2437.585938,8000
26,2433.708008,8000
27,2430.237549,8000
28,2427.236328,8000
29,2424.377197,8000
30,2421.7854,8000
31,2411.083984,10000
32,2405.811035,10000
33,2401.209473,10000
34,2397.12085,10000
35,2393.640381,10000
36,2390.478516,10000
37,2429.385254,0
38,2440.949463,0
39,2450.71167,0
40,2458.134521,0
41,2464.157715,0
42,2468.751465,0
43,2450.895508,5000
44,2445.533936,5000
45,2441.36792,5000
46,2438.033691,5000
47,2435.393555,5000
48,2433.154541,5000
49,2422.563721,7000
50,2418.001465,7000
51,2414.032715,7000
52,2410.813721,7000
53,2408.010254,7000
54,2405.711182,7000
55,2434.430664,0
56,2444.360352,0
57,2451.810791,0
58,2457.805664,0
59,2462.392334,0
60,2466.167236,0
61,2437.227295,7000
62,2427.950928,7000
63,2419.830566,7000
64,2413.615234,7000
65,2408.488525,7000
66,2404.408447,7000
67,2409.89209,5000
68,2410.345947,5000
69,2410.351807,5000
70,2410.255371,5000
71,2410.009766,5000
72,2409.580322,5000
73,2418.320801,3000
74,2421.005127,3000
75,2423.108887,3000
76,2424.526855,3000
77,2425.527588,3000
78,2426.193604,3000
79,2407.489746,7000
80,2400.296631,7000
81,2394.652588,7000
82,2389.890625,7000
83,2386.036621,7000
84,2382.570557,7000
85,2414.193359,0
86,2424.599609,0
87,2433.479736,0
88,2440.192871,0
89,2445.57959,0
90,2449.663574,0
91,2442.792725,2000
92,2441.080566,2000
93,2439.731689,2000
94,2438.572266,2000
95,2437.620605,2000
96,2436.770508,2000
97,2425.691162,4000
98,2421.161133,4000
99,2417.360352,4000
100,2414.397461,4000
101,2411.95459,4000
102,2409.958252,4000
103,2429.02002,0
104,2436.130371,0
105,2441.5625,0
106,2445.971436,0
107,2449.350586,0
108,2452.123291,0
