MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,MnO,Fe2O3,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Mo,Ag,Sn,Ba,W,Hg,Pb,Classification
5.5011,0,0,0.417175,0,0.08605,0,66.174175,0.02075,0.00245,0.0823,0.4607,0.00505,0,0,0,0,0.008575,0,0.003625,0,0.00505,0,0,0,0,0,marble
1.340325,0,0,0.4973,0,0.065125,0,72.19965,0.01325,0,0.0354,0.190975,0.006675,0.000725,0,0,0,0.0047,0,0.004525,0,0,0,0,0,0,0,marble
1.10075,0,0,0.47245,0,0.04425,0,70.86435,0.0419,0,0.029525,0.1515,0.0054,0.00085,0,0,0,0.007125,0.0004,0.00465,0,0.004975,0,0,0,0,0,marble
0.56255,0,0,0.55895,0,0.125375,0,72.08615,0.032875,0,0.024125,0.11735,0.0056,0.001,0,0,0,0.00495,0.000375,0.004025,0.000975,0.0205,0,0,0,0,0,marble
0,0,0,0.480175,0,0.042525,0,68.7698,0.012825,0,0.02905,0.124525,0.0059,0,0,0,0,0.007875,0,0.004275,0.000925,0,0,0,0,0,0,marble
1.2001,0,0,0.55335,0,0.33055,0,62.329625,0.027325,0.025925,0.0389,0.1545,0.00445,0.001025,0,0,0,0.0101,0,0.002275,0,0,0,0,0,0,0.0016,marble
29.6243,0,0,0.251075,0,0.012,0,49.8031,0.00905,0.002675,0.284475,1.85525,0.00465,0.0006,0.00405,0,0,0.007475,0.000325,0.00095,0,0,0,0,0,0,0,dolomite
33.225325,0,0,0.20405,0,0.011075,0,41.64285,0.0226,0,0.14035,1.8991,0.00445,0.000475,0.01265,0,0,0.0077,0,0,0,0,0.007775,0,0,0,0,dolomite
24.159075,1.16455,1.17765,0.246325,0,0,0.0356,46.621325,0.0264,0.009125,0.22955,1.192325,0.004725,0.00615,0,0.00295,0,0.009575,0,0,0,0.011425,0.0075,0,0,0,0,altered limestone
30.355275,0,0,0.26445,0.001925,0.0513,0,44.213425,0,0.00235,0.147025,1.6697,0.003575,0,0.004875,0,0,0.006175,0.000325,0,0,0.005775,0.0103,0,0,0,0,dolomite
