X,Y,Z,density,resistivity,Ore_log
2409.094,227.2656,380,-0.02179466,2.49181,0
2272.734,409.0938,380,-0.03220363,2.243538,0
3181.813,409.0938,380,-0.03917645,1.908821,0
590.9063,954.5469,380,-0.1512635,2.225766,0
2636.359,1363.641,380,-0.1205996,2.31949,0
3090.906,1863.641,380,-0.2947456,2.183163,0
1590.906,2045.453,380,0.0555933,2.573918,0
772.7344,2090.906,380,-0.2706073,2.59672,0
2045.453,2363.641,380,-0.06631595,2.501602,0
818.1875,2409.094,380,-0.1680225,2.190927,0
2772.734,2409.094,380,-0.01361769,2.332214,0
1409.094,2454.547,380,0.1471372,2.496057,0
1772.734,2545.453,380,0.1242423,2.6333,0
2454.547,2681.813,380,-0.07338431,2.375119,0
1090.906,2818.188,380,0.07286748,2.357128,0
1681.813,2863.641,380,0.1175305,2.317727,0
2772.734,2863.641,380,-0.07390669,2.649631,0
3318.188,2909.094,380,-0.1062749,2.306283,0
1363.641,3000,380,0.1251251,2.333502,0
2272.734,3045.453,380,0.0475836,2.605829,0
2000,3090.906,380,0.04508583,2.491214,0
681.8125,3136.359,380,-0.0779168,2.917332,0
272.7344,3318.188,380,-0.2098845,2.015352,0
1090.906,3363.641,380,0.03969792,2.275334,0
1545.453,3363.641,380,0.07482547,2.586016,0
1954.547,3363.641,380,-0.06638022,2.614943,0
2681.813,3363.641,380,0.01301259,3.08972,0
4000,3636.359,380,0.02562395,2.13839,0
1318.188,3681.813,380,0.04126143,2.336321,0
3000,3727.266,380,0.08115489,2.164442,0
2318.188,3818.188,380,-0.2315199,2.951865,0
500,4090.906,380,-0.3086297,2.359026,0
3272.734,4090.906,380,0.2070478,2.382603,0
3954.547,4136.359,380,0.185882,2.224817,0
3500,4272.734,380,0.2358536,2.330278,0
2409.094,227.2656,372.2449,-0.02172836,2.499098,0
2272.734,409.0938,372.2449,-0.03146304,2.249925,0
3181.813,409.0938,372.2449,-0.03804581,1.917722,0
590.9063,954.5469,372.2449,-0.1494267,2.221666,0
2636.359,1363.641,372.2449,-0.1200943,2.32296,0
3090.906,1863.641,372.2449,-0.2923781,2.189987,0
1590.906,2045.453,372.2449,0.05402962,2.560834,0
772.7344,2090.906,372.2449,-0.2690445,2.586697,0
2045.453,2363.641,372.2449,-0.06480354,2.494396,0
818.1875,2409.094,372.2449,-0.1662405,2.199256,0
2772.734,2409.094,372.2449,-0.01517939,2.331244,0
1409.094,2454.547,372.2449,0.1472596,2.487988,0
1772.734,2545.453,372.2449,0.1233216,2.619714,0
2454.547,2681.813,372.2449,-0.07339905,2.37026,0
1090.906,2818.188,372.2449,0.07378431,2.355774,0
1681.813,2863.641,372.2449,0.1173408,2.317138,0
2772.734,2863.641,372.2449,-0.07358839,2.646156,0
3318.188,2909.094,372.2449,-0.1059668,2.312937,0
1363.641,3000,372.2449,0.1234615,2.3361,0
2272.734,3045.453,372.2449,0.04721917,2.604101,0
2000,3090.906,372.2449,0.0469982,2.486587,0
681.8125,3136.359,372.2449,-0.07783923,2.916761,0
272.7344,3318.188,372.2449,-0.2098784,2.029441,0
1090.906,3363.641,372.2449,0.03857316,2.268203,0
1545.453,3363.641,372.2449,0.07453301,2.577376,0
1954.547,3363.641,372.2449,-0.06722222,2.617318,0
2681.813,3363.641,372.2449,0.01152654,3.081922,0
4000,3636.359,372.2449,0.02583496,2.144847,0
1318.188,3681.813,372.2449,0.04232883,2.338506,0
3000,3727.266,372.2449,0.08020504,2.167517,0
2318.188,3818.188,372.2449,-0.2305437,2.947817,0
500,4090.906,372.2449,-0.3075098,2.364115,0
3272.734,4090.906,372.2449,0.2080668,2.378309,0
3954.547,4136.359,372.2449,0.186507,2.223361,0
3500,4272.734,372.2449,0.2374768,2.328462,0
2409.094,227.2656,364.4898,-0.01958039,2.496648,0
2272.734,409.0938,364.4898,-0.03072537,2.251449,0
3181.813,409.0938,364.4898,-0.03704737,1.922498,0
590.9063,954.5469,364.4898,-0.148718,2.221636,0
2636.359,1363.641,364.4898,-0.1179295,2.330597,0
3090.906,1863.641,364.4898,-0.2934127,2.194893,0
1590.906,2045.453,364.4898,0.05584695,2.551093,0
772.7344,2090.906,364.4898,-0.2678944,2.588321,0
2045.453,2363.641,364.4898,-0.06772128,2.490116,0
818.1875,2409.094,364.4898,-0.1657718,2.192256,0
2772.734,2409.094,364.4898,-0.0101065,2.331165,0
1409.094,2454.547,364.4898,0.1479648,2.480446,0
1772.734,2545.453,364.4898,0.1229348,2.613575,0
2454.547,2681.813,364.4898,-0.07510224,2.367024,0
1090.906,2818.188,364.4898,0.073278,2.353013,0
1681.813,2863.641,364.4898,0.115753,2.305645,0
2772.734,2863.641,364.4898,-0.07443814,2.640498,0
3318.188,2909.094,364.4898,-0.105221,2.312924,0
1363.641,3000,364.4898,0.1231429,2.326049,0
2272.734,3045.453,364.4898,0.04826341,2.584985,0
2000,3090.906,364.4898,0.04506389,2.475186,0
681.8125,3136.359,364.4898,-0.07498425,2.924678,0
272.7344,3318.188,364.4898,-0.2053597,2.015257,0
1090.906,3363.641,364.4898,0.04048038,2.267781,0
1545.453,3363.641,364.4898,0.07497924,2.563771,0
1954.547,3363.641,364.4898,-0.06785436,2.602212,0
2681.813,3363.641,364.4898,0.01416464,3.066354,0
4000,3636.359,364.4898,0.02841026,2.141793,0
1318.188,3681.813,364.4898,0.04641946,2.324022,0
3000,3727.266,364.4898,0.08176703,2.148858,0
2318.188,3818.188,364.4898,-0.2302498,2.947878,0
500,4090.906,364.4898,-0.3042367,2.359269,0
3272.734,4090.906,364.4898,0.2120853,2.373353,0
3954.547,4136.359,364.4898,0.1894219,2.223362,0
3500,4272.734,364.4898,0.2412812,2.326113,0
2409.094,227.2656,356.7347,-0.01842953,2.49411,0
2272.734,409.0938,356.7347,-0.03023805,2.25311,0
3181.813,409.0938,356.7347,-0.03632012,1.923514,0
590.9063,954.5469,356.7347,-0.1478521,2.220927,0
2636.359,1363.641,356.7347,-0.1165628,2.334183,0
3090.906,1863.641,356.7347,-0.2939371,2.199361,0
1590.906,2045.453,356.7347,0.05772014,2.546096,0
772.7344,2090.906,356.7347,-0.267412,2.584732,0
2045.453,2363.641,356.7347,-0.06907335,2.487905,0
818.1875,2409.094,356.7347,-0.1655443,2.190221,0
2772.734,2409.094,356.7347,-0.007739095,2.329928,0
1409.094,2454.547,356.7347,0.1487603,2.476794,0
1772.734,2545.453,356.7347,0.1227638,2.607384,0
2454.547,2681.813,356.7347,-0.07615288,2.363477,0
1090.906,2818.188,356.7347,0.07318569,2.3499,0
1681.813,2863.641,356.7347,0.1147614,2.29986,0
2772.734,2863.641,356.7347,-0.07485573,2.637412,0
3318.188,2909.094,356.7347,-0.1047309,2.313765,0
1363.641,3000,356.7347,0.1229993,2.319565,0
2272.734,3045.453,356.7347,0.04890578,2.574777,0
2000,3090.906,356.7347,0.04488447,2.467019,0
681.8125,3136.359,356.7347,-0.07320395,2.932473,0
272.7344,3318.188,356.7347,-0.2033209,2.011812,0
1090.906,3363.641,356.7347,0.04180142,2.264971,0
1545.453,3363.641,356.7347,0.07529341,2.555367,0
1954.547,3363.641,356.7347,-0.06845054,2.593664,0
2681.813,3363.641,356.7347,0.01511742,3.057191,0
4000,3636.359,356.7347,0.03014465,2.140151,0
1318.188,3681.813,356.7347,0.04950559,2.321188,0
3000,3727.266,356.7347,0.08330838,2.139715,0
2318.188,3818.188,356.7347,-0.2297449,2.94498,0
500,4090.906,356.7347,-0.3032482,2.358902,0
3272.734,4090.906,356.7347,0.2142116,2.3682,0
3954.547,4136.359,356.7347,0.1911071,2.223276,0
3500,4272.734,356.7347,0.2437108,2.326271,0
2409.094,227.2656,348.9796,-0.01709409,2.497944,0
2272.734,409.0938,348.9796,-0.02872488,2.260846,0
3181.813,409.0938,348.9796,-0.03489168,1.926923,0
590.9063,954.5469,348.9796,-0.1453292,2.217047,0
2636.359,1363.641,348.9796,-0.1147681,2.338883,0
3090.906,1863.641,348.9796,-0.292353,2.210624,0
1590.906,2045.453,348.9796,0.05913962,2.532441,0
772.7344,2090.906,348.9796,-0.2643929,2.573078,0
2045.453,2363.641,348.9796,-0.06981093,2.478482,0
818.1875,2409.094,348.9796,-0.1646257,2.191558,0
2772.734,2409.094,348.9796,-0.0069506,2.326699,0
1409.094,2454.547,348.9796,0.1493967,2.467982,0
1772.734,2545.453,348.9796,0.1217211,2.588521,0
2454.547,2681.813,348.9796,-0.07674655,2.355138,0
1090.906,2818.188,348.9796,0.07462278,2.340589,0
1681.813,2863.641,348.9796,0.1138713,2.292529,0
2772.734,2863.641,348.9796,-0.0747098,2.629445,0
3318.188,2909.094,348.9796,-0.1040534,2.321238,0
1363.641,3000,348.9796,0.1215709,2.313893,0
2272.734,3045.453,348.9796,0.04878435,2.566539,0
2000,3090.906,348.9796,0.04642489,2.455424,0
681.8125,3136.359,348.9796,-0.07126597,2.934243,0
272.7344,3318.188,348.9796,-0.2010302,2.021392,0
1090.906,3363.641,348.9796,0.04292731,2.260696,0
1545.453,3363.641,348.9796,0.07496022,2.540513,0
1954.547,3363.641,348.9796,-0.06915532,2.584892,0
2681.813,3363.641,348.9796,0.01499677,3.040072,0
4000,3636.359,348.9796,0.03164719,2.142761,0
1318.188,3681.813,348.9796,0.05313385,2.317204,0
3000,3727.266,348.9796,0.08311867,2.13197,0
2318.188,3818.188,348.9796,-0.2283515,2.939115,0
500,4090.906,348.9796,-0.3017716,2.362006,0
3272.734,4090.906,348.9796,0.2174107,2.359265,0
3954.547,4136.359,348.9796,0.1933537,2.222732,0
3500,4272.734,348.9796,0.2474787,2.322206,0
2409.094,227.2656,341.2245,-0.01489427,2.492421,0
2272.734,409.0938,341.2245,-0.02805647,2.260115,0
3181.813,409.0938,341.2245,-0.03385049,1.929681,0
590.9063,954.5469,341.2245,-0.1451163,2.218126,0
2636.359,1363.641,341.2245,-0.1120625,2.338002,0
3090.906,1863.641,341.2245,-0.2941206,2.21536,0
1590.906,2045.453,341.2245,0.06217023,2.521652,0
772.7344,2090.906,341.2245,-0.2633332,2.575026,0
2045.453,2363.641,341.2245,-0.07307932,2.476821,0
818.1875,2409.094,341.2245,-0.1644198,2.183712,0
2772.734,2409.094,341.2245,-0.001134975,2.32689,0
1409.094,2454.547,341.2245,0.1502754,2.46241,0
1772.734,2545.453,341.2245,0.1218537,2.58352,0
2454.547,2681.813,341.2245,-0.07870907,2.352698,0
1090.906,2818.188,341.2245,0.07396334,2.338088,0
1681.813,2863.641,341.2245,0.1126719,2.279624,0
2772.734,2863.641,341.2245,-0.07584491,2.622094,0
3318.188,2909.094,341.2245,-0.1031885,2.319809,0
1363.641,3000,341.2245,0.1219423,2.297956,0
2272.734,3045.453,341.2245,0.05031752,2.542691,0
2000,3090.906,341.2245,0.04457725,2.439984,0
681.8125,3136.359,341.2245,-0.06846312,2.940465,0
272.7344,3318.188,341.2245,-0.196634,2.001507,0
1090.906,3363.641,341.2245,0.04510409,2.26036,0
1545.453,3363.641,341.2245,0.07566925,2.527166,0
1954.547,3363.641,341.2245,-0.0704014,2.566262,0
2681.813,3363.641,341.2245,0.01838084,3.022588,0
4000,3636.359,341.2245,0.0348817,2.135849,0
1318.188,3681.813,341.2245,0.05777287,2.304745,0
3000,3727.266,341.2245,0.08522532,2.110283,0
2318.188,3818.188,341.2245,-0.2277741,2.938475,0
500,4090.906,341.2245,-0.2994909,2.357573,0
3272.734,4090.906,341.2245,0.2216895,2.354201,0
3954.547,4136.359,341.2245,0.1962866,2.22341,0
3500,4272.734,341.2245,0.2519094,2.319644,0
2409.094,227.2656,333.4694,-0.01442274,2.498812,0
2272.734,409.0938,333.4694,-0.0269047,2.26612,0
3181.813,409.0938,333.4694,-0.03248794,1.934451,0
590.9063,954.5469,333.4694,-0.1437039,2.214044,0
2636.359,1363.641,333.4694,-0.1109477,2.341015,0
3090.906,1863.641,333.4694,-0.2917424,2.221031,0
1590.906,2045.453,333.4694,0.0604403,2.508039,0
772.7344,2090.906,333.4694,-0.2606878,2.565695,0
2045.453,2363.641,333.4694,-0.07162361,2.469085,0
818.1875,2409.094,333.4694,-0.1630839,2.186117,0
2772.734,2409.094,333.4694,-0.001745833,2.326118,0
1409.094,2454.547,333.4694,0.1500342,2.449972,0
1772.734,2545.453,333.4694,0.1214977,2.567711,0
2454.547,2681.813,333.4694,-0.07826754,2.346261,0
1090.906,2818.188,333.4694,0.07468142,2.332085,0
1681.813,2863.641,333.4694,0.1124514,2.27448,0
2772.734,2863.641,333.4694,-0.07559292,2.615928,0
3318.188,2909.094,333.4694,-0.1024785,2.328676,0
1363.641,3000,333.4694,0.1203677,2.296987,0
2272.734,3045.453,333.4694,0.05018257,2.537792,0
2000,3090.906,333.4694,0.04559566,2.432238,0
681.8125,3136.359,333.4694,-0.06709576,2.936483,0
272.7344,3318.188,333.4694,-0.1950494,2.018054,0
1090.906,3363.641,333.4694,0.04483348,2.253883,0
1545.453,3363.641,333.4694,0.07576239,2.515388,0
1954.547,3363.641,333.4694,-0.07059495,2.563632,0
2681.813,3363.641,333.4694,0.01765946,3.008471,0
4000,3636.359,333.4694,0.03548368,2.140169,0
1318.188,3681.813,333.4694,0.05939556,2.301452,0
3000,3727.266,333.4694,0.08544317,2.111406,0
2318.188,3818.188,333.4694,-0.2263755,2.93566,0
500,4090.906,333.4694,-0.2974207,2.358531,0
3272.734,4090.906,333.4694,0.223784,2.349176,0
3954.547,4136.359,333.4694,0.1977341,2.221305,0
3500,4272.734,333.4694,0.254131,2.31862,0
2409.094,227.2656,325.7143,-0.01244034,2.494149,0
2272.734,409.0938,325.7143,-0.02558809,2.268767,0
3181.813,409.0938,325.7143,-0.03057377,1.940828,0
590.9063,954.5469,325.7143,-0.1416796,2.210688,0
2636.359,1363.641,325.7143,-0.108116,2.343067,0
3090.906,1863.641,325.7143,-0.2909213,2.230685,0
1590.906,2045.453,325.7143,0.06220666,2.48902,0
772.7344,2090.906,325.7143,-0.2590393,2.555247,0
2045.453,2363.641,325.7143,-0.07319883,2.460121,0
818.1875,2409.094,325.7143,-0.1617956,2.182938,0
2772.734,2409.094,325.7143,0.001945959,2.322753,0
1409.094,2454.547,325.7143,0.1503821,2.437298,0
1772.734,2545.453,325.7143,0.121118,2.552,0
2454.547,2681.813,325.7143,-0.07919392,2.339824,0
1090.906,2818.188,325.7143,0.07498913,2.325378,0
1681.813,2863.641,325.7143,0.1109613,2.261408,0
2772.734,2863.641,325.7143,-0.07563941,2.604017,0
3318.188,2909.094,325.7143,-0.1012026,2.335405,0
1363.641,3000,325.7143,0.119831,2.28384,0
2272.734,3045.453,325.7143,0.05120482,2.51775,0
2000,3090.906,325.7143,0.04548114,2.41442,0
681.8125,3136.359,325.7143,-0.06375584,2.940802,0
272.7344,3318.188,325.7143,-0.1905408,2.024573,0
1090.906,3363.641,325.7143,0.04672269,2.248003,0
1545.453,3363.641,325.7143,0.07589445,2.497257,0
1954.547,3363.641,325.7143,-0.0713504,2.547539,0
2681.813,3363.641,325.7143,0.01923615,2.981328,0
4000,3636.359,325.7143,0.03919865,2.137926,0
1318.188,3681.813,325.7143,0.06246153,2.287776,0
3000,3727.266,325.7143,0.08623506,2.093985,0
2318.188,3818.188,325.7143,-0.2245595,2.934052,0
500,4090.906,325.7143,-0.2942105,2.356925,0
3272.734,4090.906,325.7143,0.2279606,2.338538,0
3954.547,4136.359,325.7143,0.2006562,2.221156,0
3500,4272.734,325.7143,0.2589118,2.314011,0
2409.094,227.2656,317.9592,-0.01096444,2.493262,0
2272.734,409.0938,317.9592,-0.02468869,2.269071,0
3181.813,409.0938,317.9592,-0.02953943,1.943023,0
590.9063,954.5469,317.9592,-0.1404857,2.210068,0
2636.359,1363.641,317.9592,-0.1060715,2.344268,0
3090.906,1863.641,317.9592,-0.2915293,2.237039,0
1590.906,2045.453,317.9592,0.06526628,2.480389,0
772.7344,2090.906,317.9592,-0.257037,2.555142,0
2045.453,2363.641,317.9592,-0.07560392,2.456679,0
818.1875,2409.094,317.9592,-0.1613338,2.177628,0
