Well_ID,X,Y,TVD,CompLength,FracStage,TotalPropPlaced,qi,b,D,CumProd
1,-560.508643939386,351.142295454551,3573,1173,11,1225.10000228882,2131.75912881361,1.60110583503559,1.04788695425343,26290.0487066657
2,-517.735643939389,403.380295454554,3534.2,1103.5,12,1088.53001891822,1202.73037167192,1.66819456730666,0.564643212314634,21994.5491996432
3,-460.299643939386,375.845295454553,3562,1056,8,823.029998779297,1192.1380610436,1.4728369422348,0.215471323790736,33662.0972836549
4,-391.097643939389,377.597295454549,3402,2081.5,19,3107.40001058578,7257.21526262196,1.52,0.2,241380.762965799
5,-389.42264393939,400.967295454549,3637,1617.5,17,2391.35000610352,2498.63983899662,1.99999999994736,0.673565815469658,59391.7236574686
6,-228.127643939388,323.978295454552,3190.2,1741.14990234375,16,2067,3380.8080003616,1.72199594886884,0.451568450678781,81262.4984820774
7,-243.486643939391,298.829295454553,3229.7,1674.5498046875,26,2245.48999023438,2514.00096024888,1.99999999999133,0.483663960470641,70400.170591007
8,-216.843643939391,225.761295454546,3307.2,1586.9501953125,26,2175,1682.40751196269,1.61166876249751,0.148255771176561,67005.1226438035
9,-175.108643939389,473.299295454552,3054.7,2252.5,19,1839.98999023438,1268.5237602542,1.9610952221458,0.329083289304894,40046.9112163119
10,-187.511643939388,400.020295454553,3027.2,1784,18,1910.02000363171,1151.88790095786,1.97273234858886,0.386153339222218,33436.8934728526
11,-186.394643939387,406.897295454556,3019.4,1466.5,15,2015.5700058043,1138.59497888705,1.99999999953982,0.724156058841004,24141.6071773615
12,-174.897643939389,449.392295454558,3119.3,1984,20,1991.19999694824,1179.6292725112,1.78546811376863,0.563887052585408,24103.532777979
13,-169.717643939386,449.622295454546,3115.8,1611,17,1462.54000234604,1153.79663081889,1.93793482638521,0.505294680099404,28366.1533551867
14,-148.770643939386,404.259295454551,3126.6,1491,16,2315.19999694824,1660.09921216515,1.99999999982927,0.560909917200189,42003.6363142863
15,-145.24264393939,405.760295454556,3125.7,1516.2998046875,16,1096.15000148118,980.448941332671,1.99999999997832,0.323317208094054,31144.8564262303
16,-202.287643939385,273.758295454556,3238,1201,12,1842.00999450684,1230.58390317046,1.08449065990351,0.176103586041635,27453.1813100472
17,-207.90864393939,227.627295454553,3284.2,1697.60009765625,16,2722.51001739502,3019.24208551449,1.47240961383958,0.179248277902783,101257.986599887
18,-202.028643939386,227.74129545455,3284.8,2046,20,2961.89999389648,4031.0990205565,1.50476341059518,0.387810366427446,88173.8657488694
19,-187.750643939388,204.425295454556,3266.6,1256.1201171875,28,1456.20000457764,541.58665942146,1.9999999986735,0.104689593577825,27898.9261283199
20,-143.88064393939,284.742295454549,3302.9,1225.5,14,1920,1765.12903673021,1.66293481137128,0.907773385786836,25113.2603247264
21,-131.778643939391,176.068295454556,3384.9,1081.7001953125,23,1844.5,1703.15097505948,1.99999999982124,0.370777623046006,53086.2965398538
22,-135.31964393939,299.189295454553,3218.6,1233.30004882813,13,2070,2340.63395339794,1.86040799240077,0.637169905293632,51156.1170570919
23,-183.951643939388,136.088295454556,3300.7,1355.5,12,1067.95001220703,1492.32546372412,1.74922772405856,0.114768102918655,72398.5186257189
24,-183.886643939388,22.9282954545482,3440.2,925.5,8,943.700006127357,2884.39215423499,1.22881055811285,0.225240637196096,67499.2071718702
25,-141.25764393939,4.13429545454846,3400.2,2174.2998046875,24,4247,2887.55948849445,1.99999999999663,0.100985149442048,166883.883978301
26,-129.712643939392,129.414295454552,3402.6,1683.25,25,2481.51000213623,2412.8669060724,1.73029477032903,0.195486703573064,90260.9435642189
27,-82.7296439393876,350.535295454549,3096.3,1605,19,3219.12008666992,656.124414139352,1.99999999997338,0.144915746806514,29633.854939149
28,-42.2496439393854,354.40729545455,3077.5,2200,26,2795.20996856689,948.91864646462,1.99999999961965,0.135327701363351,45902.0200178773
29,-93.7946439393897,294.676295454551,3176.2,2134.89990234375,23,3565,2571.81601561458,1.44859464495497,0.0909772552030563,124755.787268525
30,-93.9006439393921,290.817295454559,3180.2,2135.89990234375,22,3769,2416.53995037795,1.99999999996085,0.156953957410297,114641.047543815
31,-100.329643939389,4.30929545454717,3395.9,2002.89990234375,24,4055.2799987793,2842.36157972228,1.15389842288315,0.0807886623872982,124930.344210538
32,-100.343643939389,39.0122954545546,3339.7,2127.5,22,4110.30000305176,3079.23272717423,1.99999999999409,0.12754284260694,161158.628378673
33,-100.370643939392,98.9822954545474,3305.7,1935.5,25,3739.19999694824,2782.6752761469,1.99999999999797,0.20984522705719,116225.768421147
34,-53.6196439393919,49.1002954545507,3228.3,1699.89990234375,17,1051.86999423802,1813.43552891794,1.99999999988759,0.297574382307876,63138.4002889688
35,-52.0406439393923,-149.090704545443,3484.8,1132.89990234375,14,684.11999694258,750.98441988974,1.40882629302908,0.555837057610484,8847.52967303823
36,-49.3966439393887,-561.865704545454,3859.2,2760,40,7427.04998779297,6178.32813506295,1.379008928,0.33,133313.038922755
37,-50.6136439393856,-564.016704545452,3860.6,2755.10009765625,40,7596.39002990723,6762.24998993808,1.7,0.235,230878.576088862
38,-48.4606439393858,-559.45270454545,3856.9,2761.580078125,40,7610.61000061035,6046.38848147733,1.44,0.45,113851.855047673
39,-45.7036439393903,-554.297704545448,3854.4,2782,40,7562.55999755859,6486.54939239926,1.6,0.27,192936.9491025
40,-46.6926439393873,-556.06970454545,3852.9,2776.77978515625,40,7486.76000595093,5951.47778276438,1.45,0.6,94307.3652315124
41,10.4373560606135,424.541295454546,2988.6,2370.39990234375,24,4579,2467.81708552913,1.66649840343583,0.312975917965472,68629.4888259881
